[7092][o:-175.83,42.08,-178.47][a:-0.40,0.01,-9.76][e:0.00,-1.61][c:0,0][w:-14,-39,22]
[7257][o:-175.95,41.21,-179.72][a:-0.41,0.01,-9.76][e:0.00,-1.61][c:0,0][w:-13,-39,22]
[7421][o:-176.06,40.36,179.00][a:-0.40,0.03,-9.78][e:0.00,-1.61][c:0,0][w:-14,-39,22]
[7586][o:-176.17,39.52,177.69][a:-0.41,0.04,-9.76][e:0.00,-1.61][c:0,0][w:-13,-40,20]
[7751][o:-176.27,38.70,176.46][a:-0.41,0.03,-9.76][e:0.00,-1.62][c:0,0][w:-13,-38,22]
[7916][o:-176.37,37.89,175.11][a:-0.39,0.04,-9.78][e:0.00,-1.61][c:0,0][w:-15,-39,22]
[8081][o:-176.47,37.09,173.83][a:-0.40,0.02,-9.77][e:0.00,-1.61][c:0,0][w:-14,-38,22]
[8246][o:-176.47,37.09,173.83][a:-0.40,0.02,-9.77][e:0.00,-1.61][c:0,0][w:-14,-38,22]
[8460][o:-178.86,15.96,172.97][a:-0.41,0.02,-9.79][e:0.00,-1.60][c:0,0][w:-13,-39,20]
[8625][o:-178.90,15.60,171.45][a:-0.39,0.02,-9.77][e:0.00,-1.60][c:0,0][w:-14,-39,22]
[8790][o:-178.94,15.25,169.96][a:-0.42,0.02,-9.76][e:0.00,-1.61][c:0,0][w:-14,-39,22]
[8954][o:-178.98,14.90,168.61][a:-0.40,0.01,-9.80][e:0.00,-1.61][c:0,0][w:-14,-39,22]
[9119][o:-179.02,14.56,167.20][a:-0.41,0.01,-9.78][e:0.00,-1.61][c:0,0][w:-13,-40,20]
[9284][o:-179.06,14.23,165.91][a:-0.41,0.03,-9.79][e:0.00,-1.62][c:0,0][w:-14,-39,22]
[9449][o:-179.10,13.90,164.52][a:-0.40,0.03,-9.80][e:0.00,-1.61][c:0,0][w:-14,-40,20]
[10719][o:178.99,2.60,159.57][a:-0.41,0.02,-9.77][e:0.00,-1.62][c:193,69][w:-14,-39,22]
[10816][o:178.98,2.53,158.19][a:-0.41,0.03,-9.79][e:0.00,-1.61][c:194,70][w:-14,-38,22]
[10909][o:178.98,2.46,156.90][a:-0.38,0.01,-9.80][e:0.00,-1.61][c:193,69][w:-14,-39,22]
[11001][o:178.98,2.39,155.64][a:-0.40,0.01,-9.73][e:0.00,-1.61][c:194,69][w:-13,-39,22]
[11094][o:178.98,2.33,154.30][a:-0.40,0.03,-9.77][e:0.00,-1.62][c:194,70][w:-13,-38,22]
[11187][o:178.97,2.26,152.98][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:193,69][w:-14,-39,22]
[11279][o:178.97,2.20,151.77][a:-0.41,0.03,-9.77][e:0.00,-1.61][c:194,70][w:-14,-39,22]
[11371][o:178.97,2.13,150.59][a:-0.40,0.03,-9.76][e:0.00,-1.61][c:193,69][w:-13,-39,22]
[11464][o:178.97,2.07,149.41][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:194,69][w:-14,-39,22]
[11556][o:178.97,2.01,148.25][a:-0.41,0.00,-9.76][e:0.00,-1.61][c:194,70][w:-14,-39,22]
[11653][o:178.96,1.96,147.16][a:-0.41,0.01,-9.76][e:0.00,-1.62][c:193,69][w:-14,-38,22]
[11761][o:178.96,1.90,145.94][a:-0.39,0.00,-9.76][e:0.00,-1.62][c:194,69][w:-14,-38,20]
[11854][o:178.96,1.85,144.74][a:-0.41,0.02,-9.79][e:0.00,-1.62][c:194,70][w:-15,-38,20]
[11947][o:178.96,1.79,143.68][a:-0.41,0.01,-9.73][e:0.00,-1.62][c:193,69][w:-14,-39,22]
[12039][o:178.96,1.74,142.63][a:-0.40,0.02,-9.76][e:0.00,-1.63][c:194,70][w:-13,-39,22]
[15545][o:178.80,-0.53,130.23][a:-0.39,0.03,-9.79][e:0.00,-1.62][c:194,70][w:-14,-39,22]
[15642][o:178.80,-0.54,129.40][a:-0.39,0.03,-9.81][e:0.00,-1.61][c:193,69][w:-13,-38,22]
[15734][o:178.80,-0.54,128.58][a:-0.40,0.00,-9.78][e:0.00,-1.60][c:194,70][w:-14,-37,22]
[15827][o:178.80,-0.54,127.77][a:-0.41,0.02,-9.77][e:0.00,-1.61][c:193,70][w:-13,-38,22]
[15920][o:178.80,-0.54,127.01][a:-0.39,0.03,-9.77][e:0.00,-1.61][c:193,69][w:-13,-38,22]
[16012][o:178.80,-0.54,126.27][a:-0.42,0.03,-9.77][e:0.00,-1.62][c:194,70][w:-14,-39,22]
[16105][o:178.80,-0.55,125.56][a:-0.41,0.01,-9.76][e:0.00,-1.61][c:193,69][w:-14,-39,22]
[16197][o:178.82,-0.48,124.83][a:-0.40,0.03,-9.74][e:0.00,-1.62][c:194,70][w:-2,-2,-1]
[16289][o:178.84,-0.42,124.09][a:-0.40,0.03,-9.75][e:0.00,-1.61][c:193,70][w:-2,-3,-1]
[16381][o:178.86,-0.36,123.36][a:-0.40,0.02,-9.78][e:0.00,-1.61][c:193,69][w:-2,-1,-1]
[16474][o:178.88,-0.30,122.55][a:-0.40,-0.00,-9.75][e:0.00,-1.61][c:194,70][w:-2,-3,0]
[16567][o:178.90,-0.24,121.75][a:-0.43,0.01,-9.75][e:0.00,-1.61][c:193,69][w:-1,-1,-1]
[16659][o:178.92,-0.18,121.08][a:-0.41,0.01,-9.77][e:0.00,-1.63][c:194,69][w:-1,-3,-1]
[16755][o:178.94,-0.13,120.42][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:193,70][w:-1,-1,-1]
[16848][o:178.96,-0.07,119.83][a:-0.41,0.00,-9.75][e:0.00,-1.61][c:193,69][w:-1,-2,-1]
[16957][o:178.98,-0.02,119.16][a:-0.41,0.01,-9.77][e:0.00,-1.61][c:194,70][w:-2,-1,-1]
[17327][o:179.47,1.46,118.33][a:-0.40,0.03,-9.77][e:0.00,-1.61][c:193,69][w:-2,-2,-1]
[17423][o:179.47,1.48,117.77][a:-0.42,0.03,-9.77][e:0.00,-1.61][c:194,70][w:-2,-1,-1]
[17515][o:179.48,1.50,117.08][a:-0.39,0.01,-9.76][e:0.00,-1.61][c:193,70][w:-1,-1,0]
[17607][o:179.49,1.52,116.40][a:-0.39,0.01,-9.78][e:0.00,-1.61][c:194,69][w:-1,-2,0]
[17700][o:179.50,1.54,115.87][a:-0.40,0.00,-9.77][e:0.00,-1.61][c:194,70][w:-2,-1,-2]
[17793][o:179.50,1.56,115.35][a:-0.41,0.00,-9.77][e:0.00,-1.62][c:193,69][w:-2,-2,0]
[17885][o:179.51,1.58,114.79][a:-0.40,0.02,-9.77][e:0.00,-1.62][c:194,70][w:-2,-1,0]
[17978][o:179.51,1.60,114.25][a:-0.40,0.03,-9.75][e:0.00,-1.61][c:193,70][w:-2,-2,-1]
[18070][o:179.52,1.61,113.75][a:-0.40,0.04,-9.77][e:0.00,-1.62][c:193,69][w:-1,-1,-1]
[18163][o:179.52,1.63,113.26][a:-0.40,0.02,-9.79][e:0.00,-1.62][c:194,70][w:-2,-2,-1]
[18255][o:179.53,1.65,112.78][a:-0.41,0.00,-9.76][e:0.00,-1.62][c:193,68][w:-1,-1,-1]
[18348][o:179.54,1.67,112.31][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:194,70][w:-1,-2,-1]
[18440][o:179.54,1.68,111.83][a:-0.39,0.02,-9.78][e:0.00,-1.62][c:193,70][w:-2,-1,-1]
[18537][o:179.55,1.70,111.36][a:-0.41,0.02,-9.78][e:0.00,-1.61][c:194,69][w:-2,-1,-1]
[18629][o:179.55,1.71,110.91][a:-0.39,0.03,-9.78][e:0.00,-1.61][c:194,70][w:-2,-2,-2]
[18738][o:179.56,1.73,110.36][a:-0.41,0.00,-9.76][e:0.00,-1.61][c:193,69][w:-2,-1,-1]
[19330][o:179.70,2.18,109.59][a:-0.40,0.01,-9.77][e:0.00,-1.61][c:193,69][w:-2,-2,-1]
[19426][o:179.70,2.18,109.16][a:-0.40,0.03,-9.78][e:0.00,-1.62][c:194,70][w:-2,-1,0]
[19518][o:179.70,2.19,108.79][a:-0.41,0.02,-9.76][e:0.00,-1.61][c:193,70][w:-1,-1,-2]
[19610][o:179.70,2.19,108.43][a:-0.42,0.01,-9.75][e:0.00,-1.61][c:194,69][w:-2,-2,-1]
[19702][o:179.71,2.20,108.09][a:-0.41,0.02,-9.75][e:0.00,-1.61][c:194,70][w:-1,-1,-2]
[19795][o:179.71,2.20,107.77][a:-0.42,0.01,-9.78][e:0.00,-1.62][c:193,69][w:-1,-2,-1]
[19888][o:179.71,2.21,107.37][a:-0.43,0.01,-9.77][e:0.00,-1.62][c:194,70][w:-2,-2,0]
[19980][o:179.71,2.22,106.98][a:-0.41,0.02,-9.75][e:0.00,-1.61][c:193,70][w:-2,-1,-1]
[20077][o:179.71,2.22,106.68][a:-0.40,0.02,-9.78][e:0.00,-1.62][c:193,69][w:-1,-3,-1]
[20186][o:179.72,2.22,106.32][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:194,70][w:-2,-2,0]
[20278][o:179.72,2.23,105.96][a:-0.39,0.02,-9.77][e:0.00,-1.61][c:193,69][w:-2,-2,0]
[20370][o:179.72,2.23,105.56][a:-0.40,0.02,-9.79][e:0.00,-1.61][c:194,69][w:-1,-1,-1]
[20463][o:179.72,2.23,105.18][a:-0.40,0.01,-9.77][e:0.00,-1.61][c:194,70][w:-1,-1,-1]
[20559][o:179.72,2.24,104.92][a:-0.39,0.01,-9.76][e:0.00,-1.61][c:193,69][w:-2,-2,-1]
[20668][o:179.72,2.24,104.54][a:-0.40,0.03,-9.78][e:0.00,-1.62][c:194,70][w:-2,-2,-1]
[20760][o:179.72,2.24,104.17][a:-0.40,0.01,-9.78][e:0.00,-1.61][c:193,70][w:-1,-3,0]
[21685][o:179.76,2.35,104.37][a:-0.40,0.00,-9.78][e:0.00,-1.61][c:193,70][w:-2,-2,0]
[21781][o:179.76,2.35,104.21][a:-0.39,0.03,-9.79][e:0.00,-1.61][c:194,69][w:-2,-2,-1]
[21874][o:179.76,2.35,103.90][a:-0.40,0.03,-9.76][e:0.00,-1.61][c:194,70][w:-1,-1,-1]
[21966][o:179.76,2.35,103.60][a:-0.39,0.02,-9.77][e:0.00,-1.61][c:193,69][w:-1,-1,-1]
[22059][o:179.76,2.35,103.44][a:-0.42,0.00,-9.79][e:0.00,-1.61][c:194,70][w:-2,-1,-2]
[22152][o:179.76,2.35,103.28][a:-0.41,0.02,-9.77][e:0.00,-1.61][c:193,70][w:-2,-2,0]
[22244][o:179.77,2.36,102.98][a:-0.42,0.01,-9.77][e:0.00,-1.62][c:194,68][w:-2,-3,-1]
[22340][o:179.77,2.35,102.68][a:-0.39,-0.00,-9.80][e:0.00,-1.62][c:194,70][w:-2,-2,0]
[22433][o:179.77,2.35,102.51][a:-0.39,0.02,-9.78][e:0.00,-1.61][c:193,69][w:-2,-2,-1]
[22542][o:179.77,2.35,102.35][a:-0.42,0.02,-9.77][e:0.00,-1.61][c:194,68][w:-2,-2,-2]
[22634][o:179.77,2.36,102.19][a:-0.40,0.02,-9.76][e:0.00,-1.61][c:197,70][w:-2,-1,-1]
[22726][o:179.77,2.36,102.11][a:-0.40,0.02,-9.77][e:0.00,-1.61][c:197,69][w:-1,-1,-1]
[22823][o:179.77,2.36,102.02][a:-0.40,0.02,-9.76][e:0.00,-1.62][c:202,70][w:-2,-1,-1]
[22916][o:179.77,2.36,101.78][a:-0.38,0.02,-9.75][e:-0.27,-1.61][c:204,70][w:-2,-2,-2]
[23024][o:179.77,2.36,101.54][a:-0.40,0.03,-9.76][e:-0.81,-1.62][c:207,69][w:-2,-2,-1]
[23117][o:179.77,2.36,101.30][a:-0.40,0.04,-9.78][e:-2.16,-1.61][c:213,70][w:-2,-2,-2]
[23819][o:179.84,2.85,95.29][a:-0.69,-0.03,-9.65][e:-150.41,-1.62][c:224,64][w:12,2,-404]
[23948][o:179.85,2.87,93.24][a:-0.48,-0.08,-9.69][e:-218.59,-1.62][c:227,65][w:18,9,-432]
[24302][o:179.86,2.96,89.53][a:-0.54,-0.18,-9.90][e:-403.08,-1.61][c:228,62][w:19,4,-505]
[24523][o:179.87,2.94,86.60][a:-0.43,-0.08,-9.81][e:-515.89,-1.61][c:232,62][w:21,1,-539]
[24749][o:179.87,2.99,83.28][a:-0.69,-0.09,-9.73][e:-655.21,-1.61][c:232,60][w:21,4,-572]
[31837][o:-179.89,2.66,-55.44][a:-0.56,0.09,-9.78][e:-5770.59,-1.46][c:204,70][w:-1,0,-7]
[31930][o:-179.91,2.68,-54.86][a:-0.64,0.13,-9.73][e:-5774.11,-1.44][c:203,69][w:0,0,-12]
[32150][o:-179.95,2.73,-53.81][a:-0.58,0.08,-9.74][e:-5781.95,-1.46][c:201,70][w:0,0,-25]
[32228][o:-179.96,2.75,-53.33][a:-0.62,0.05,-9.75][e:-5783.58,-1.45][c:202,70][w:0,0,-35]
[32483][o:180.00,2.80,-51.97][a:-0.53,0.04,-9.80][e:-5788.99,-1.46][c:198,70][w:0,3,-49]
[32562][o:179.99,2.81,-51.62][a:-0.64,0.08,-9.74][e:-5789.53,-1.47][c:197,69][w:1,3,-57]
[32654][o:179.97,2.84,-51.22][a:-0.69,0.08,-9.75][e:-5789.53,-1.47][c:198,70][w:0,-2,-62]
[32746][o:179.96,2.86,-50.83][a:-0.56,0.09,-9.74][e:-5789.26,-1.46][c:197,70][w:1,-1,-63]
[32843][o:179.95,2.86,-50.45][a:-0.46,0.06,-9.78][e:-5789.26,-1.46][c:208,69][w:1,-3,-62]
[32952][o:179.94,2.86,-50.20][a:-0.45,0.08,-9.78][e:-5790.07,-1.46][c:211,70][w:2,1,-60]
[33044][o:179.93,2.86,-49.94][a:-0.50,0.09,-9.74][e:-5793.04,-1.46][c:221,68][w:1,1,-55]
[33136][o:179.92,2.86,-49.57][a:-0.53,0.05,-9.75][e:-5800.62,-1.46][c:230,67][w:0,-1,-48]
